Date,Time,VFAS(V),Curr(mA),SWR,RSSI(dB),RxBt(V),A2(V),mAh(mAh),LiPo(V),GSpd(kmh),GPS,GAlt(m),GAl2(m),Grng(m),Gdst(m),Rud,Ele,Thr,Ail,S1,S2,S3,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH
2016-07-05,16:17:14.920,0,0,0,0,0,0,0,0,0,,0,0,0,0,-4,-8,-1024,-2,72,-6,-1024,-1024,-8,1,-1,-1,1,0,1,-1,-1
2016-07-05,16:17:15.950,0,0,0,0,0,0,0,0,0,,0,0,0,0,-4,-8,-1024,-4,72,-6,-1024,-1024,-7,1,-1,-1,1,0,1,-1,-1
2016-07-05,16:17:16.970,11.15,0,0,90,4.9,11.9,0,11.15,2.1,4109.1067W 4316.2485N,279,0,0,0,-4,-8,-1024,-2,72,-6,-1024,-1024,-7,1,-1,-1,1,0,1,-1,-1
2016-07-05,16:17:17.970,11.14,0,17,90,4.9,11.9,0,11.14,0.8,4109.1066W 4316.2486N,279,0,0,0,-4,-8,-1024,-2,72,-6,-1024,-1024,-8,1,-1,-1,1,0,1,-1,-1
2016-07-05,16:17:19.020,11.15,0,17,92,4.9,11.9,0,11.15,0.2,4109.1069W 4316.2487N,279.5,0,0,0,-6,-8,-106,-2,72,-6,-1024,-1024,-7,1,-1,-1,1,0,1,-1,-1
2016-07-05,16:17:20.030,11.14,0,17,92,4.9,11.9,0,11.14,0.3,4109.1071W 4316.2487N,279.6,0,0,0,-6,-10,27,-2,72,-6,-1024,-1024,-6,1,-1,-1,1,0,1,-1,-1
2016-07-05,16:17:21.030,11.15,0,17,89,4.9,11.9,0,11.15,0.2,4109.1071W 4316.2488N,279.6,0,0,0,-6,-10,29,-2,72,-6,-1024,-1024,-7,1,-1,-1,1,0,1,-1,-1
2016-07-05,16:17:22.090,11.14,0,16,86,4.9,11.9,0,11.14,0.2,4109.1071W 4316.2488N,279.6,0,0,0,-6,-8,29,-4,72,-6,-1024,-1024,-7,1,-1,-1,1,0,1,-1,-1
2016-07-05,16:17:23.090,11.15,0,17,85,4.9,11.9,0,11.15,0.2,4109.1073W 4316.2488N,279.7,0,0,0,-4,-8,30,-2,72,-6,-1024,-1024,-8,1,-1,-1,1,0,1,-1,-1
2016-07-05,16:17:24.100,11.15,0,16,85,4.9,11.9,0,11.15,0.3,4109.1073W 4316.2488N,279.4,0,0,0,-4,-8,29,-2,72,-6,-1024,-1024,-7,1,-1,-1,1,0,1,-1,-1
2016-07-05,16:17:25.150,11.14,0,17,88,4.9,11.9,0,11.14,0.1,4109.1073W 4316.2487N,279.6,0,0,0,-4,-8,29,-1,72,-6,-1024,-1024,-8,1,-1,-1,1,0,1,-1,-1
